TIME;2013;2018;2021;2022;2023;2024
Europäische Union - 27 Länder (ab 2020);7.0;7.3;;7.1;7.3;7.2
Euroraum - 20 Länder (ab 2023);;;;;7.2;7.2
Belgien;7.5;7.6;7.5;7.6;7.7;7.6
Bulgarien;4.8;5.4;5.7;5.6;5.9;6.2
Tschechien;6.9;7.4;7.3;7.4;7.4;7.4
Dänemark;8.0;7.8;7.5;7.6;7.5;7.6
Deutschland;7.3;7.4;;6.5;7.0;7.0
Estland;6.5;7.0;7.2;7.2;7.2;7.1
Irland;7.4;8.1;7.3;7.4;7.6;7.5
Griechenland;6.2;6.4;6.8;6.7;6.9;6.7
Spanien;6.9;7.3;7.2;7.1;7.2;7.2
Frankreich;7.1;7.3;6.8;7.0;7.1;7.1
Kroatien;6.3;6.3;6.8;6.8;7.1;7.2
Italien;6.6;7.0;7.2;7.2;7.2;7.2
Zypern;6.2;7.1;6.8;7.2;7.5;7.4
Lettland;6.5;6.7;6.7;6.8;6.9;6.9
Litauen;6.7;6.4;7.0;7.1;7.2;7.2
Luxemburg;7.4;7.5;7.4;7.2;7.3;7.2
Ungarn;6.1;6.5;6.5;6.9;7.2;7.1
Malta;7.1;7.5;7.1;7.4;7.4;7.5
Niederlande;7.8;7.7;7.7;7.7;7.6;7.6
Österreich;7.8;8.0;8.0;7.9;7.7;7.6
Polen;7.3;7.7;7.5;7.7;7.6;7.6
Portugal;6.2;6.7;;7.0;7.1;7.3
Rumänien;7.1;7.4;7.7;7.7;7.7;7.7
Slowenien;7.0;7.2;7.6;7.6;7.7;7.7
Slowakei;7.0;7.1;7.1;7.0;7.3;7.3
Finnland;8.0;8.1;8.0;7.9;7.7;7.8
Schweden;7.9;7.8;7.6;7.5;7.5;7.4
Island;7.9;8.1;;;;
Norwegen;7.9;8.0;7.5;7.7;7.6;7.6
Schweiz;8.0;8.0;7.9;8.0;7.8;
United Kingdom;7.3;7.6;;;;
Nordmazedonien;;6.0;;;;
Albanien;;5.5;5.7;;;
Serbien;4.9;5.6;5.9;6.1;6.4;
